order_id,customer_id,product_id,order_date,quantity,discount,ship_days,name,email,country,segment,join_date,product_name,category,sell_price,cost_price,margin,gross_revenue,cogs,gross_profit,order_value_tier
10001,310,1013,2022-04-22,4,0.0,5,Customer_310,c310@mail.com,US,Consumer,2020-10-14,Product_12,Clothing,208.03,161.19,22.52,832.12,644.76,187.36,Medium
10002,417,1074,2024-02-10,8,0.0,7,Customer_417,c417@mail.com,US,Home Office,2020-11-13,Product_73,Electronics,129.16,67.59,47.67,1033.28,540.72,492.56,Medium
10003,241,1067,2024-11-12,8,0.0,4,Customer_241,c241@mail.com,DE,Home Office,2022-10-12,Product_66,Sports,173.2,103.31,40.35,1385.6,826.48,559.12,Large
10004,348,1013,2024-10-21,9,0.05,1,Customer_348,c348@mail.com,US,Consumer,2021-10-07,Product_12,Clothing,208.03,161.19,22.52,1778.66,1450.71,327.95,Large
10005,194,1080,2022-04-07,1,0.05,1,Customer_194,c194@mail.com,DE,Consumer,2021-09-11,Product_79,Sports,203.56,62.82,69.14,193.38,62.82,130.56,Small
10006,169,1053,2024-08-31,2,0.15,5,Customer_169,c169@mail.com,DE,Consumer,2020-04-10,Product_52,Sports,55.8,55.8,-48.52,94.86,111.6,-16.74,Small
10007,362,1012,2022-04-09,9,0.0,6,Customer_362,c362@mail.com,CA,Corporate,2021-04-25,Product_11,Sports,139.16,130.42,6.28,1252.44,1173.78,78.66,Large
10008,473,1059,2024-05-22,4,0.15,4,Customer_473,c473@mail.com,DE,Consumer,2020-06-29,Product_58,Clothing,164.55,31.59,80.8,559.47,126.36,433.11,Small
10009,275,1007,2022-12-28,6,0.0,1,Customer_275,c275@mail.com,US,Consumer,2020-07-08,Product_6,Home,94.65,46.32,51.06,567.9,277.92,289.98,Medium
10010,186,1067,2023-04-04,8,0.15,2,Customer_186,c186@mail.com,US,Corporate,2021-09-16,Product_66,Sports,173.2,103.31,40.35,1177.76,826.48,351.28,Medium
10011,366,1076,2022-01-11,6,0.1,5,Customer_366,c366@mail.com,US,Consumer,2020-04-09,Product_75,Books,303.24,184.87,39.04,1637.5,1109.22,528.28,Large
10012,44,1052,2022-01-22,5,0.0,3,Customer_44,c44@mail.com,FR,Consumer,2020-10-21,Product_51,Books,148.43,107.39,27.65,742.15,536.95,205.2,Medium
10013,48,1049,2024-06-15,3,0.05,3,Customer_48,c48@mail.com,FR,Corporate,2022-06-27,Product_48,Electronics,77.08,37.28,51.63,219.68,111.84,107.84,Small
10014,342,1058,2024-09-05,4,0.15,3,Customer_342,c342@mail.com,US,Home Office,2022-09-20,Product_57,Clothing,284.05,122.51,56.87,965.77,490.04,475.73,Medium
10015,395,1077,2024-04-01,2,0.0,7,Customer_395,c395@mail.com,UK,Consumer,2020-02-02,Product_76,Electronics,307.83,37.99,87.66,615.66,75.98,539.68,Medium
10016,198,1003,2022-06-03,1,0.0,2,Customer_198,c198@mail.com,US,Corporate,2020-02-03,Product_2,Sports,110.5,110.5,-101.94,110.5,110.5,0.0,Small
10017,91,1012,2024-12-01,3,0.0,1,Customer_91,c91@mail.com,US,Consumer,2022-09-27,Product_11,Sports,139.16,130.42,6.28,417.48,391.26,26.22,Small
10018,293,1067,2024-12-20,3,0.0,2,Customer_293,c293@mail.com,UK,Consumer,2022-11-12,Product_66,Sports,173.2,103.31,40.35,519.6,309.93,209.67,Small
10019,60,1077,2022-12-07,5,0.0,4,Customer_60,c60@mail.com,CA,Consumer,2022-01-19,Product_76,Electronics,307.83,37.99,87.66,1539.15,189.95,1349.2,Large
10020,456,1058,2023-02-15,6,0.05,7,Customer_456,c456@mail.com,FR,Corporate,2022-01-13,Product_57,Clothing,284.05,122.51,56.87,1619.08,735.06,884.02,Large
10021,431,1067,2024-03-29,9,0.0,7,Customer_431,c431@mail.com,US,Home Office,2021-09-27,Product_66,Sports,173.2,103.31,40.35,1558.8,929.79,629.01,Large
10022,160,1019,2023-11-08,8,0.0,4,Customer_160,c160@mail.com,UK,Corporate,2021-04-23,Product_18,Home,353.4,28.48,91.94,2827.2,227.84,2599.36,Large
10023,31,1073,2023-05-15,5,0.0,4,Customer_31,c31@mail.com,US,Consumer,2021-12-02,Product_72,Books,157.58,102.87,34.72,787.9,514.35,273.55,Medium
10024,314,1043,2024-04-09,2,0.2,7,Customer_314,c314@mail.com,US,Consumer,2020-07-08,Product_42,Home,351.19,40.06,88.59,561.9,80.12,481.78,Medium
10025,294,1079,2024-08-08,1,0.0,5,Customer_294,c294@mail.com,US,Corporate,2022-03-23,Product_78,Electronics,293.06,79.92,72.73,293.06,79.92,213.14,Small
10026,397,1002,2023-12-31,4,0.15,4,Customer_397,c397@mail.com,US,Consumer,2020-09-11,Product_1,Books,244.41,31.25,87.21,830.99,125.0,705.99,Medium
10027,350,1009,2024-05-22,2,0.0,4,Customer_350,c350@mail.com,UK,Corporate,2020-11-04,Product_8,Clothing,288.68,52.73,81.73,577.36,105.46,471.9,Medium
10028,191,1016,2023-06-13,3,0.1,3,Customer_191,c191@mail.com,UK,Home Office,2020-02-20,Product_15,Home,168.25,168.25,-99.8,454.28,504.75,-50.47,Small
10029,189,1043,2024-04-17,9,0.0,1,Customer_189,c189@mail.com,US,Corporate,2020-03-20,Product_42,Home,351.19,40.06,88.59,3160.71,360.54,2800.17,Large
10030,227,1063,2022-08-10,6,0.05,3,Customer_227,c227@mail.com,US,Home Office,2021-09-01,Product_62,Books,112.65,112.65,-80.85,642.1,675.9,-33.8,Medium
10031,116,1027,2022-11-15,9,0.0,3,Customer_116,c116@mail.com,FR,Corporate,2022-08-11,Product_26,Electronics,347.87,160.99,53.72,3130.83,1448.91,1681.92,Large
10032,118,1076,2023-07-04,9,0.05,5,Customer_118,c118@mail.com,US,Home Office,2022-11-05,Product_75,Books,303.24,184.87,39.04,2592.7,1663.83,928.87,Large
10033,269,1080,2024-10-26,7,0.05,1,Customer_269,c269@mail.com,CA,Home Office,2020-04-19,Product_79,Sports,203.56,62.82,69.14,1353.67,439.74,913.93,Large
10034,485,1006,2022-01-17,8,0.0,3,Customer_485,c485@mail.com,US,Consumer,2021-05-20,Product_5,Clothing,105.54,105.54,-219.53,844.32,844.32,0.0,Medium
10035,3,1059,2024-12-30,4,0.0,3,Customer_3,c3@mail.com,US,Corporate,2020-07-01,Product_58,Clothing,164.55,31.59,80.8,658.2,126.36,531.84,Medium
10036,100,1046,2023-01-09,1,0.0,4,Customer_100,c100@mail.com,US,Corporate,2021-06-14,Product_45,Clothing,349.42,90.99,73.96,349.42,90.99,258.43,Small
10037,423,1011,2024-12-31,6,0.0,3,Customer_423,c423@mail.com,US,Consumer,2020-11-11,Product_10,Electronics,121.52,29.3,75.89,729.12,175.8,553.32,Medium
10038,192,1060,2023-11-07,2,0.1,7,Customer_192,c192@mail.com,DE,Consumer,2021-12-08,Product_59,Sports,318.03,70.49,77.84,572.45,140.98,431.47,Medium
10039,394,1055,2022-03-09,6,0.05,5,Customer_394,c394@mail.com,CA,Home Office,2020-03-25,Product_54,Clothing,94.95,94.95,-152.46,541.22,569.7,-28.48,Small
10040,439,1061,2022-09-28,4,0.0,7,Customer_439,c439@mail.com,US,Consumer,2021-06-29,Product_60,Books,280.5,138.59,50.59,1122.0,554.36,567.64,Medium
10041,443,1005,2024-06-12,1,0.05,2,Customer_443,c443@mail.com,US,Corporate,2021-07-31,Product_4,Clothing,161.64,32.07,80.16,153.56,32.07,121.49,Small
10042,283,1078,2022-01-22,5,0.1,4,Customer_283,c283@mail.com,US,Consumer,2022-03-22,Product_77,Home,194.3,19.94,89.74,874.35,99.7,774.65,Medium
10043,22,1021,2022-09-25,3,0.0,2,Customer_22,c22@mail.com,US,Consumer,2020-08-16,Product_20,Sports,17.98,12.83,28.64,53.94,38.49,15.45,Small
10044,293,1008,2023-09-02,7,0.1,1,Customer_293,c293@mail.com,UK,Consumer,2022-11-12,Product_7,Sports,225.11,161.51,28.25,1418.19,1130.57,287.62,Large
10045,183,1066,2022-03-04,4,0.05,5,Customer_183,c183@mail.com,US,Consumer,2022-12-11,Product_65,Books,311.04,105.43,66.1,1181.95,421.72,760.23,Medium
10046,198,1076,2023-06-07,4,0.15,3,Customer_198,c198@mail.com,US,Corporate,2020-02-03,Product_75,Books,303.24,184.87,39.04,1031.02,739.48,291.54,Medium
10047,344,1047,2023-12-17,9,0.05,3,Customer_344,c344@mail.com,US,Home Office,2020-08-08,Product_46,Home,149.64,69.74,53.39,1279.42,627.66,651.76,Large
10048,170,1040,2022-04-30,5,0.1,2,Customer_170,c170@mail.com,UK,Home Office,2022-09-15,Product_39,Home,362.85,45.39,87.49,1632.82,226.95,1405.87,Large
10049,258,1068,2024-02-26,9,0.0,7,Customer_258,c258@mail.com,DE,Corporate,2022-11-17,Product_67,Electronics,133.81,133.81,-27.54,1204.29,1204.29,0.0,Medium
10050,146,1059,2024-03-29,5,0.05,1,Customer_146,c146@mail.com,CA,Consumer,2020-02-19,Product_58,Clothing,164.55,31.59,80.8,781.61,157.95,623.66,Medium
10051,104,1074,2022-08-28,2,0.0,7,Customer_104,c104@mail.com,CA,Consumer,2022-11-08,Product_73,Electronics,129.16,67.59,47.67,258.32,135.18,123.14,Small
10052,116,1005,2024-05-25,9,0.0,5,Customer_116,c116@mail.com,FR,Corporate,2022-08-11,Product_4,Clothing,161.64,32.07,80.16,1454.76,288.63,1166.13,Large
10053,348,1006,2022-09-14,5,0.0,7,Customer_348,c348@mail.com,US,Consumer,2021-10-07,Product_5,Clothing,105.54,105.54,-219.53,527.7,527.7,0.0,Small
10054,150,1012,2023-09-24,4,0.1,7,Customer_150,c150@mail.com,UK,Consumer,2020-01-26,Product_11,Sports,139.16,130.42,6.28,500.98,521.68,-20.7,Small
10055,254,1034,2022-12-18,6,0.0,4,Customer_254,c254@mail.com,US,Consumer,2021-01-10,Product_33,Home,31.49,31.49,-90.62,188.94,188.94,0.0,Small
10056,449,1061,2024-09-08,5,0.1,2,Customer_449,c449@mail.com,US,Corporate,2020-08-14,Product_60,Books,280.5,138.59,50.59,1262.25,692.95,569.3,Large
10057,339,1015,2023-09-22,7,0.0,6,Customer_339,c339@mail.com,UK,Consumer,2022-01-25,Product_14,Books,226.78,67.31,70.32,1587.46,471.17,1116.29,Large
10058,326,1072,2024-04-13,3,0.05,6,Customer_326,c326@mail.com,FR,Corporate,2021-07-18,Product_71,Clothing,257.0,67.74,73.64,732.45,203.22,529.23,Medium
10059,55,1080,2022-05-30,5,0.0,2,Customer_55,c55@mail.com,US,Corporate,2021-09-02,Product_79,Sports,203.56,62.82,69.14,1017.8,314.1,703.7,Medium
10060,407,1048,2022-12-20,2,0.0,7,Customer_407,c407@mail.com,US,Consumer,2022-05-07,Product_47,Books,193.34,46.46,75.97,386.68,92.92,293.76,Small
10061,291,1051,2022-08-04,1,0.0,5,Customer_291,c291@mail.com,UK,Home Office,2021-01-23,Product_50,Home,150.92,150.92,-17.31,150.92,150.92,0.0,Small
10062,30,1026,2023-01-03,1,0.15,6,Customer_30,c30@mail.com,US,Home Office,2021-11-27,Product_25,Electronics,227.83,23.11,89.86,193.66,23.11,170.55,Small
10063,40,1029,2023-12-02,8,0.05,3,Customer_40,c40@mail.com,US,Home Office,2022-06-27,Product_28,Sports,203.84,82.78,59.39,1549.18,662.24,886.94,Large
10064,391,1033,2023-09-07,7,0.0,3,Customer_391,c391@mail.com,US,Corporate,2020-09-08,Product_32,Clothing,299.31,99.59,66.73,2095.17,697.13,1398.04,Large
10065,352,1044,2022-11-05,4,0.1,5,Customer_352,c352@mail.com,FR,Consumer,2021-08-15,Product_43,Clothing,359.38,108.59,69.78,1293.77,434.36,859.41,Large
10066,418,1033,2022-05-24,2,0.0,7,Customer_418,c418@mail.com,DE,Home Office,2021-08-05,Product_32,Clothing,299.31,99.59,66.73,598.62,199.18,399.44,Medium
